mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02418979008992513,0.0018401075022367692,0.008447647094726562,0.0008052790247691909,5,1,5,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.32558139534883723,0.3937007874015748,0.44274809160305345,0.3873434247844885,0.048043873854119255,7
0.026105642318725586,0.001352942523012292,0.008310397466023764,0.0008467446792321314,5,1,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.32558139534883723,0.390625,0.44274809160305345,0.3863181623172969,0.04792995108072338,8
0.025846083958943684,0.0016865827276557155,0.009118398030598959,0.0002596278223225898,5,2,2,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.33587786259541985,0.390625,0.44274809160305345,0.38975031806615773,0.043633971959166976,3
0.026040395100911457,0.0005689053101809965,0.00822154680887858,0.0008566524608374884,5,2,5,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.32558139534883723,0.390625,0.44274809160305345,0.3863181623172969,0.04792995108072338,8
0.025394439697265625,0.0017676485301437526,0.008338451385498047,0.0004484496932717389,5,2,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.32558139534883723,0.390625,0.44274809160305345,0.3863181623172969,0.04792995108072338,8
0.02369387944539388,0.0022640243363734715,0.0072176456451416016,0.0014604854417989064,5,4,2,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.328125,0.390625,0.44776119402985076,0.3888370646766169,0.04885763171383754,4
0.03076171875,0.010696515920481632,0.00823195775349935,0.0005083948219580787,5,4,5,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.328125,0.390625,0.44776119402985076,0.3888370646766169,0.04885763171383754,4
0.025615533192952473,0.0009446571613650867,0.008268038431803385,0.0003263239039577891,5,4,10,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.34375,0.390625,0.44776119402985076,0.39404539800995025,0.04253121569536638,1
0.0355677604675293,0.00849536878266218,0.007547140121459961,0.0013027936417024128,7,1,2,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.3076923076923077,0.4316546762589928,0.423728813559322,0.38769193250354084,0.05666074362576533,6
0.03020612398783366,0.0018207101101280834,0.00894459088643392,0.00012306623160688473,7,1,5,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.296875,0.42028985507246375,0.41025641025641024,0.375807088442958,0.05596352051824715,14
0.03081091245015462,0.0027689675549302543,0.007962783177693685,0.0004794255707677449,7,1,10,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.28346456692913385,0.39436619718309857,0.4,0.35927692137074413,0.05365674700060371,18
0.030262311299641926,0.0032194917212221034,0.007819811503092447,0.0007078497936718798,7,2,2,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.2631578947368421,0.4,0.4144144144144144,0.3591907697170855,0.0681600011906099,19
0.030214627583821613,0.0005888496906580643,0.007961114247639975,0.0006374480078906998,7,2,5,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.2926829268292683,0.4,0.41818181818181815,0.37028824833702884,0.055374988775567464,16
0.03006124496459961,0.0014148219858233766,0.00769956906636556,0.0002337644691220363,7,2,10,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.2857142857142857,0.40559440559440557,0.42592592592592593,0.3724115390782057,0.06186357563425921,15
0.03304831186930338,0.0057988674951306,0.008225043614705404,0.0009148709882712273,7,4,2,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.2857142857142857,0.4142857142857143,0.44642857142857145,0.3821428571428571,0.06943650748294138,11
0.028742313385009766,0.0016621828041035805,0.00756533940633138,0.0002555501922060522,7,4,5,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.2857142857142857,0.4142857142857143,0.44642857142857145,0.3821428571428571,0.06943650748294138,11
